Package	Version	LibPath
tidyterra	1.1.0	~/.local/lib/R/replication-20260914
timeSeries	4052.112	~/.local/lib/R/replication-20260914
tmap	4.3	~/.local/lib/R/replication-20260914
tmaptools	3.3	~/.local/lib/R/replication-20260914
truncdist	1.0-2	~/.local/lib/R/replication-20260914
truncnorm	1.0-9	~/.local/lib/R/replication-20260914
trust	0.1-9	~/.local/lib/R/replication-20260914
usethis	3.2.1	~/.local/lib/R/replication-20260914
V8	8.2.0	~/.local/lib/R/replication-20260914
vdiffr	1.0.9	~/.local/lib/R/replication-20260914
verification	1.45	~/.local/lib/R/replication-20260914
viridis	0.6.5	~/.local/lib/R/replication-20260914
XMRF	1.0	~/.local/lib/R/replication-20260914
zeallot	0.2.0	~/.local/lib/R/replication-20260914
abind	1.4-8	~/.local/lib/R/site-library
askpass	1.2.1	~/.local/lib/R/site-library
backports	1.5.1	~/.local/lib/R/site-library
base64enc	0.1-6	~/.local/lib/R/site-library
BH	1.90.0-1	~/.local/lib/R/site-library
bit	4.6.0	~/.local/lib/R/site-library
bit64	4.8.6	~/.local/lib/R/site-library
blob	1.3.0	~/.local/lib/R/site-library
brew	1.0-10	~/.local/lib/R/site-library
brio	1.1.5	~/.local/lib/R/site-library
broom	1.0.13	~/.local/lib/R/site-library
bslib	0.12.0	~/.local/lib/R/site-library
cachem	1.1.0	~/.local/lib/R/site-library
callr	3.8.0	~/.local/lib/R/site-library
car	3.1-5	~/.local/lib/R/site-library
carData	3.0-6	~/.local/lib/R/site-library
checkmate	2.3.4	~/.local/lib/R/site-library
classInt	0.4-11	~/.local/lib/R/site-library
cli	3.6.6	~/.local/lib/R/site-library
clipr	0.8.1	~/.local/lib/R/site-library
cluster	2.1.8.3	~/.local/lib/R/site-library
coda	0.19-4.1	~/.local/lib/R/site-library
collections	0.3.12	~/.local/lib/R/site-library
colorspace	2.1-3	~/.local/lib/R/site-library
cols4all	0.10	~/.local/lib/R/site-library
commonmark	2.0.0	~/.local/lib/R/site-library
corrplot	0.95	~/.local/lib/R/site-library
cowplot	1.2.0	~/.local/lib/R/site-library
cpp11	0.5.5	~/.local/lib/R/site-library
crayon	1.5.3	~/.local/lib/R/site-library
crosstalk	1.2.2	~/.local/lib/R/site-library
curl	8.0.0	~/.local/lib/R/site-library
data.table	1.18.6.1	~/.local/lib/R/site-library
DBI	1.3.0	~/.local/lib/R/site-library
deldir	2.0-4	~/.local/lib/R/site-library
DEoptimR	1.2-1	~/.local/lib/R/site-library
Deriv	4.3.5	~/.local/lib/R/site-library
desc	1.4.3	~/.local/lib/R/site-library
dfidx	0.2-0	~/.local/lib/R/site-library
diffobj	0.3.8	~/.local/lib/R/site-library
digest	0.6.39	~/.local/lib/R/site-library
DistributionUtils	0.6-2	~/.local/lib/R/site-library
doBy	4.7.2	~/.local/lib/R/site-library
dotCall64	1.2	~/.local/lib/R/site-library
dplyr	1.2.1	~/.local/lib/R/site-library
e1071	1.7-17	~/.local/lib/R/site-library
Ecdat	0.4.7	~/.local/lib/R/site-library
ellipsis	0.3.3	~/.local/lib/R/site-library
evaluate	1.0.5	~/.local/lib/R/site-library
evd	2.3-7.1	~/.local/lib/R/site-library
