Order	Package	BeforeVersion	Version	URL	SHA256
45	lme4	2.0-1	2.0-6	https://stat.ethz.ch/CRAN/src/contrib/lme4_2.0-6.tar.gz	3e503bc10626ad62804c80a82237147b1296d93c18d88946554c29075af917f7
46	nnet	7.3-20	7.3-21	https://stat.ethz.ch/CRAN/src/contrib/nnet_7.3-21.tar.gz	c3914e2b8fd2cc2df7afb60cfa106070fc43cd5b60f877f3790303fc6513895b
47	car	-	3.1-5	https://stat.ethz.ch/CRAN/src/contrib/car_3.1-5.tar.gz	27ab23cff7c5c123ffe8a2475b5a3b4d778414a28dde0a59d5cfbbefa08c99fb
48	openssl	2.4.1	2.4.2	https://stat.ethz.ch/CRAN/src/contrib/openssl_2.4.2.tar.gz	1fc030ad0a008472eac7f086666a7623bdbe6d27c5fdb07b5510f56545d2f4e7
49	optimParallel	1.0-2	1.0-3	https://stat.ethz.ch/CRAN/src/contrib/optimParallel_1.0-3.tar.gz	1c23d8edcba7f10043112acd72be788fbaa44cfedd1b02f85b29b544814d426c
50	pak	-	0.11.1	https://stat.ethz.ch/CRAN/src/contrib/pak_0.11.1.tar.gz	762ec8acc2d2ccbe5a217859c846c2de83254e3948112b437dde7a0ad5b15999
51	pbapply	1.7-4	1.7-5	https://stat.ethz.ch/CRAN/src/contrib/pbapply_1.7-5.tar.gz	1a6473e93da0f891e8dd6d967a7a93fa9a680a6f77d08f41502e8110b5ca9c68
52	pixmap	-	0.4-14	https://stat.ethz.ch/CRAN/src/contrib/pixmap_0.4-14.tar.gz	26710c931f95b89b66b50e3ee1c4b6e1ba383b8067f80b3d7de2f0d58cb9fa9e
53	prettyunits	-	1.2.0	https://stat.ethz.ch/CRAN/src/contrib/prettyunits_1.2.0.tar.gz	f059f27e2a5c82e351fe05b87ad712f7afc273c651450453f59d99af5deeacea
54	progress	-	1.2.3	https://stat.ethz.ch/CRAN/src/contrib/progress_1.2.3.tar.gz	ea2b079b894de85c3ab12088c9c52aec06432245047a961d5b4b8aa6889f9276
55	rdtools	-	0.1.0	https://stat.ethz.ch/CRAN/src/contrib/rdtools_0.1.0.tar.gz	90fdaef0c78ad322ca76f4b401c68b4028c2437cd51a1b6ccbf411d9c66c094b
56	reshape2	-	1.4.5	https://stat.ethz.ch/CRAN/src/contrib/reshape2_1.4.5.tar.gz	0ead5acd0153e5073b3c24e8e782982a4eab3aaa768ba17700d796fb13b68cef
57	rlang	1.2.0	1.3.0	https://stat.ethz.ch/CRAN/src/contrib/rlang_1.3.0.tar.gz	80aa537d49e72265f443a15e8936128af583caa5e572086518b503cbf064279c
58	bslib	0.11.0	0.12.0	https://stat.ethz.ch/CRAN/src/contrib/bslib_0.12.0.tar.gz	26fc11793dc1fdccd6d8d2fc1d638c29c47aa0c2e5cbadc6a35af3819f5446d1
59	doBy	4.7.1	4.7.2	https://stat.ethz.ch/CRAN/src/contrib/doBy_4.7.2.tar.gz	9d4b2c4dca86b9e54f5c3778f6af93485334cd4b4f6105ac69e5d55579af7b7f
60	ellipsis	-	0.3.3	https://stat.ethz.ch/CRAN/src/contrib/ellipsis_0.3.3.tar.gz	da1782bce5c1baf1cf8c69877078db51fabf2693a393b55ff044fd2e32966873
61	ggsci	5.0.0	5.2.0	https://stat.ethz.ch/CRAN/src/contrib/ggsci_5.2.0.tar.gz	2c52a8059c057eea204fa479094973450c8fa0f3d6d6fc051ad546ec41559c46
62	igraph	2.3.2	2.3.3	https://stat.ethz.ch/CRAN/src/contrib/igraph_2.3.3.tar.gz	942522d815eb1de840d5cdc60745dab8f815398cda279dd4bd98444b0c07a699
63	pkgload	1.5.2	1.5.3	https://stat.ethz.ch/CRAN/src/contrib/pkgload_1.5.3.tar.gz	5e539f91ca36b8ed80933101baf2a57462b9342c68556f5d4dcb86c01639df28
64	robustbase	-	0.99-7	https://stat.ethz.ch/CRAN/src/contrib/robustbase_0.99-7.tar.gz	9f5d19d1bcace8c9edc3c96fa5b9a7fdff7566528d0b68422ca6a92e7c588cfd
65	rstatix	-	1.1.0	https://stat.ethz.ch/CRAN/src/contrib/rstatix_1.1.0.tar.gz	b71a99d3cebdcf9acb96b2ce97bee12df618c7e1875aabb7851f3fc8e0b5dd19
66	ggpubr	-	1.0.0	https://stat.ethz.ch/CRAN/src/contrib/ggpubr_1.0.0.tar.gz	bb7f9c2d87328f9ce73f485dc7d77b56b567b8431513b531b2c1e9d090b4c589
67	rstudioapi	-	0.19.0	https://stat.ethz.ch/CRAN/src/contrib/rstudioapi_0.19.0.tar.gz	f1e3bb445a90aadc07b043493022d120493eba7ff30c0b3055442d8b77d8069a
68	rversions	-	3.0.0	https://stat.ethz.ch/CRAN/src/contrib/rversions_3.0.0.tar.gz	da80259d5feb5701db24a8507b36f38ba9fd01e3b460e45edc378cb6930933e1
69	s2	1.1.11	1.1.12	https://stat.ethz.ch/CRAN/src/contrib/s2_1.1.12.tar.gz	ec3cebd5f9dcacf7398a0b7a3c1e41d57f9cacfb1c6503b0e6acf19fcfa5c41e
70	sessioninfo	-	1.2.4	https://stat.ethz.ch/CRAN/src/contrib/sessioninfo_1.2.4.tar.gz	fe855e84941126c272d5a0ae39b14f1c92d7076550d7be627389d452b7d61bd4
71	sf	1.1-1	1.1-2	https://stat.ethz.ch/CRAN/src/contrib/sf_1.1-2.tar.gz	d981586c9999173a1087ab90dd93c1972cc36edae5d0d0a7cd3f4aec2838855b
72	sftime	-	0.3.2	https://stat.ethz.ch/CRAN/src/contrib/sftime_0.3.2.tar.gz	5638d00fd4e54ef765e0cfc6c984a0b3b5d5cda74153258af91e350d1dbd9f4d
73	sourcetools	-	0.1.7-2	https://stat.ethz.ch/CRAN/src/contrib/sourcetools_0.1.7-2.tar.gz	07e584b780d7fcdfa5b527214361fface49350ab49cf901bd3d5c15950e4f1a7
74	sp	2.2-1	2.2-3	https://stat.ethz.ch/CRAN/src/contrib/sp_2.2-3.tar.gz	a238205229d60340df0911ad13b23d5f7e504c84f8b2917130d8f97c4c8523f5
75	spam	-	2.11-4	https://stat.ethz.ch/CRAN/src/contrib/spam_2.11-4.tar.gz	e206414c4220f0716fdc49654a3b450483920a5046f840f97452e1d93a689886
76	fields	-	17.3	https://stat.ethz.ch/CRAN/src/contrib/fields_17.3.tar.gz	1d3a9cd6e119ecbfe422ba788dca3b62bfb890d1af945f6bfff3cf2fcc29d9b3
