Package	Version	LibPath	Priority
rprojroot	2.1.1	/home/phili/.local/lib/R/site-library	NA
rSPDE	2.6.0	/home/phili/.local/lib/R/site-library	NA
RSpectra	0.16-2	/home/phili/.local/lib/R/site-library	NA
RSQLite	3.53.1	/home/phili/.local/lib/R/site-library	NA
rstatix	1.1.0	/home/phili/.local/lib/R/site-library	NA
rstudioapi	0.19.0	/home/phili/.local/lib/R/site-library	NA
rversions	3.0.0	/home/phili/.local/lib/R/site-library	NA
s2	1.1.12	/home/phili/.local/lib/R/site-library	NA
S7	0.2.2	/home/phili/.local/lib/R/site-library	NA
sass	0.4.10	/home/phili/.local/lib/R/site-library	NA
satellite	1.0.6	/home/phili/.local/lib/R/site-library	NA
scales	1.4.0	/home/phili/.local/lib/R/site-library	NA
servr	0.32	/home/phili/.local/lib/R/site-library	NA
sessioninfo	1.2.4	/home/phili/.local/lib/R/site-library	NA
sf	1.1-2	/home/phili/.local/lib/R/site-library	NA
sfheaders	0.4.5	/home/phili/.local/lib/R/site-library	NA
sftime	0.3.2	/home/phili/.local/lib/R/site-library	NA
smoothr	1.3.0	/home/phili/.local/lib/R/site-library	NA
sn	2.1.3	/home/phili/.local/lib/R/site-library	NA
sourcetools	0.1.7-2	/home/phili/.local/lib/R/site-library	NA
sp	2.2-3	/home/phili/.local/lib/R/site-library	NA
spacesXYZ	1.6-0	/home/phili/.local/lib/R/site-library	NA
spacetime	1.3-4	/home/phili/.local/lib/R/site-library	NA
spam	2.11-4	/home/phili/.local/lib/R/site-library	NA
spam64	2.11-4	/home/phili/.local/lib/R/site-library	NA
sparseinv	0.1.4	/home/phili/.local/lib/R/site-library	NA
SparseM	1.84-2	/home/phili/.local/lib/R/site-library	NA
spatial	7.3-19	/home/phili/.local/lib/R/site-library	recommended
spatstat	3.6-1	/home/phili/.local/lib/R/site-library	NA
spatstat.data	3.1-9	/home/phili/.local/lib/R/site-library	NA
spatstat.explore	3.8-1	/home/phili/.local/lib/R/site-library	NA
spatstat.geom	3.8-1	/home/phili/.local/lib/R/site-library	NA
spatstat.linnet	3.5-1	/home/phili/.local/lib/R/site-library	NA
spatstat.model	3.7-1	/home/phili/.local/lib/R/site-library	NA
spatstat.random	3.5-0	/home/phili/.local/lib/R/site-library	NA
spatstat.sparse	3.2-0	/home/phili/.local/lib/R/site-library	NA
spatstat.univar	3.2-0	/home/phili/.local/lib/R/site-library	NA
spatstat.utils	3.2-4	/home/phili/.local/lib/R/site-library	NA
spData	2.3.5	/home/phili/.local/lib/R/site-library	NA
spdep	1.4-2	/home/phili/.local/lib/R/site-library	NA
spectralGP	1.3.4	/home/phili/.local/lib/R/site-library	NA
splancs	2.01-45	/home/phili/.local/lib/R/site-library	NA
stars	0.7-3	/home/phili/.local/lib/R/site-library	NA
statmod	1.5.2	/home/phili/.local/lib/R/site-library	NA
stringdist	0.9.17	/home/phili/.local/lib/R/site-library	NA
stringi	1.8.9	/home/phili/.local/lib/R/site-library	NA
stringr	1.6.0	/home/phili/.local/lib/R/site-library	NA
styler	1.11.0	/home/phili/.local/lib/R/site-library	NA
survival	3.8-11	/home/phili/.local/lib/R/site-library	recommended
sys	3.4.3	/home/phili/.local/lib/R/site-library	NA
systemfonts	1.3.2	/home/phili/.local/lib/R/site-library	NA
tensor	1.5.1	/home/phili/.local/lib/R/site-library	NA
tensorA	0.36.2.1	/home/phili/.local/lib/R/site-library	NA
terra	1.9-46	/home/phili/.local/lib/R/site-library	NA
testthat	3.3.2	/home/phili/.local/lib/R/site-library	NA
textshaping	1.0.5	/home/phili/.local/lib/R/site-library	NA
tibble	3.3.1	/home/phili/.local/lib/R/site-library	NA
tidyr	1.3.2	/home/phili/.local/lib/R/site-library	NA
tidyselect	1.2.1	/home/phili/.local/lib/R/site-library	NA
tidyterra	1.1.0	/home/phili/.local/lib/R/site-library	NA
timechange	0.4.0	/home/phili/.local/lib/R/site-library	NA
timeDate	4052.112	/home/phili/.local/lib/R/site-library	NA
tinytex	0.60	/home/phili/.local/lib/R/site-library	NA
tmap	4.3	/home/phili/.local/lib/R/site-library	NA
tmaptools	3.3	/home/phili/.local/lib/R/site-library	NA
TMB	1.9.25	/home/phili/.local/lib/R/site-library	NA
tzdb	0.5.0	/home/phili/.local/lib/R/site-library	NA
units	1.0-1	/home/phili/.local/lib/R/site-library	NA
urca	1.3-4	/home/phili/.local/lib/R/site-library	NA
urlchecker	2.0.0	/home/phili/.local/lib/R/site-library	NA
utf8	1.2.6	/home/phili/.local/lib/R/site-library	NA
uuid	1.2-2	/home/phili/.local/lib/R/site-library	NA
vctrs	0.7.3	/home/phili/.local/lib/R/site-library	NA
viridis	0.6.5	/home/phili/.local/lib/R/site-library	NA
viridisLite	0.4.3	/home/phili/.local/lib/R/site-library	NA
waldo	0.6.2	/home/phili/.local/lib/R/site-library	NA
whisker	0.4.1	/home/phili/.local/lib/R/site-library	NA
withr	3.0.3	/home/phili/.local/lib/R/site-library	NA
wk	0.9.5	/home/phili/.local/lib/R/site-library	NA
xfun	0.60	/home/phili/.local/lib/R/site-library	NA
XML	3.99-0.24	/home/phili/.local/lib/R/site-library	NA
xml2	1.6.0	/home/phili/.local/lib/R/site-library	NA
xmlparsedata	1.0.5	/home/phili/.local/lib/R/site-library	NA
xopen	1.0.1	/home/phili/.local/lib/R/site-library	NA
xtable	1.8-8	/home/phili/.local/lib/R/site-library	NA
xts	0.14.2	/home/phili/.local/lib/R/site-library	NA
yaml	2.3.12	/home/phili/.local/lib/R/site-library	NA
yyjsonr	0.1.22	/home/phili/.local/lib/R/site-library	NA
zip	3.0.2	/home/phili/.local/lib/R/site-library	NA
zoo	1.9-0	/home/phili/.local/lib/R/site-library	NA
littler	0.3.23	/usr/lib/R/site-library	NA
base	4.6.1	/usr/lib/R/library	base
boot	1.3-32	/usr/lib/R/library	recommended
class	7.3-24	/usr/lib/R/library	recommended
cluster	2.1.8.2	/usr/lib/R/library	recommended
codetools	0.2-20	/usr/lib/R/library	recommended
compiler	4.6.1	/usr/lib/R/library	base
datasets	4.6.1	/usr/lib/R/library	base
foreign	0.8-91	/usr/lib/R/library	recommended
graphics	4.6.1	/usr/lib/R/library	base
grDevices	4.6.1	/usr/lib/R/library	base
grid	4.6.1	/usr/lib/R/library	base
KernSmooth	2.23-27	/usr/lib/R/library	recommended
lattice	0.23-1	/usr/lib/R/library	recommended
MASS	7.3-66	/usr/lib/R/library	recommended
Matrix	1.7-6	/usr/lib/R/library	recommended
methods	4.6.1	/usr/lib/R/library	base
mgcv	1.9-4	/usr/lib/R/library	recommended
nlme	3.1-171	/usr/lib/R/library	recommended
nnet	7.3-21	/usr/lib/R/library	recommended
parallel	4.6.1	/usr/lib/R/library	base
rpart	4.1.27	/usr/lib/R/library	recommended
spatial	7.3-17	/usr/lib/R/library	recommended
splines	4.6.1	/usr/lib/R/library	base
stats	4.6.1	/usr/lib/R/library	base
stats4	4.6.1	/usr/lib/R/library	base
survival	3.8-11	/usr/lib/R/library	recommended
tcltk	4.6.1	/usr/lib/R/library	base
tools	4.6.1	/usr/lib/R/library	base
utils	4.6.1	/usr/lib/R/library	base
abind	1.4-8	/home/phili/R/library	NA
armspp	0.0.3	/home/phili/R/library	NA
askpass	1.2.1	/home/phili/R/library	NA
backports	1.5.1	/home/phili/R/library	NA
bain	0.2.12	/home/phili/R/library	NA
base64enc	0.1-6	/home/phili/R/library	NA
batchmeans	1.0-4	/home/phili/R/library	NA
bayesm	3.1-7	/home/phili/R/library	NA
BDgraph	2.74	/home/phili/R/library	NA
Bergm	5.0.7	/home/phili/R/library	NA
berryFunctions	1.22.13	/home/phili/R/library	NA
BFpack	1.6.1	/home/phili/R/library	NA
BGGM	2.1.6	/home/phili/R/library	NA
BH	1.90.0-1	/home/phili/R/library	NA
bigD	0.3.1	/home/phili/R/library	NA
BiocGenerics	0.58.1	/home/phili/R/library	NA
BiocManager	1.30.27	/home/phili/R/library	NA
BiocVersion	3.23.1	/home/phili/R/library	NA
bit	4.6.0	/home/phili/R/library	NA
bit64	4.8.2	/home/phili/R/library	NA
bitops	1.0-9	/home/phili/R/library	NA
BMGM	0.1.1	/home/phili/R/library	NA
bnlearn	5.2.1	/home/phili/R/library	NA
brew	1.0-10	/home/phili/R/library	NA
bridgesampling	1.2-1	/home/phili/R/library	NA
brio	1.1.5	/home/phili/R/library	NA
Brobdingnag	1.2-9	/home/phili/R/library	NA
broom	1.0.13	/home/phili/R/library	NA
bslib	0.11.0	/home/phili/R/library	NA
cachem	1.1.0	/home/phili/R/library	NA
callr	3.8.0	/home/phili/R/library	NA
camel	0.2.0	/home/phili/R/library	NA
car	3.1-5	/home/phili/R/library	NA
CARBayes	6.1.1	/home/phili/R/library	NA
CARBayesdata	3.0	/home/phili/R/library	NA
CARBayesST	4.0	/home/phili/R/library	NA
