Package	Version	LibPath	Priority
geometries	0.2.5	/home/phili/.local/lib/R/site-library	NA
geometry	0.5.2	/home/phili/.local/lib/R/site-library	NA
geoR	1.9-6	/home/phili/R/library	NA
gert	2.3.1	/home/phili/R/library	NA
GGally	2.4.0	/home/phili/R/library	NA
ggnewscale	0.5.2	/home/phili/.local/lib/R/site-library	NA
ggOceanMaps	2.3.0	/home/phili/.local/lib/R/site-library	NA
ggplot2	4.0.3	/home/phili/.local/lib/R/site-library	NA
ggplot2movies	0.0.1	/home/phili/R/library	NA
ggpubr	1.0.0	/home/phili/.local/lib/R/site-library	NA
ggrepel	0.9.8	/home/phili/.local/lib/R/site-library	NA
ggridges	0.5.7	/home/phili/R/library	NA
ggsci	5.2.0	/home/phili/.local/lib/R/site-library	NA
ggsignif	0.6.4	/home/phili/.local/lib/R/site-library	NA
ggstats	0.14.0	/home/phili/R/library	NA
gh	1.6.0	/home/phili/R/library	NA
GIGrvg	0.8	/home/phili/R/library	NA
gitcreds	0.1.2	/home/phili/.local/lib/R/site-library	NA
glasso	1.11	/home/phili/R/library	NA
glmnet	5.0	/home/phili/R/library	NA
globals	0.19.1	/home/phili/R/library	NA
glue	1.8.1	/home/phili/.local/lib/R/site-library	NA
gmp	0.7-5.1	/home/phili/R/library	NA
goftest	1.2-3	/home/phili/.local/lib/R/site-library	NA
GPArotation	2026.8-2	/home/phili/R/library	NA
GpGp	1.0.0	/home/phili/.local/lib/R/site-library	NA
graph	1.90.0	/home/phili/R/library	NA
graphics	4.6.1	/usr/lib/R/library	base
gRbase	2.0.3	/home/phili/R/library	NA
grDevices	4.6.1	/usr/lib/R/library	base
grid	4.6.1	/usr/lib/R/library	base
gridExtra	2.3.1	/home/phili/.local/lib/R/site-library	NA
gsl	2.1-9	/home/phili/R/library	NA
gstat	2.1-6	/home/phili/.local/lib/R/site-library	NA
gt	1.3.0	/home/phili/R/library	NA
gtable	0.3.6	/home/phili/.local/lib/R/site-library	NA
gtools	3.9.5	/home/phili/R/library	NA
hexbin	1.28.5	/home/phili/R/library	NA
highr	0.12	/home/phili/.local/lib/R/site-library	NA
highs	1.14.0-2	/home/phili/R/library	NA
Hmisc	5.3-0	/home/phili/.local/lib/R/site-library	NA
hms	1.1.4	/home/phili/.local/lib/R/site-library	NA
htmlTable	2.5.0	/home/phili/.local/lib/R/site-library	NA
htmltools	0.5.9	/home/phili/.local/lib/R/site-library	NA
htmlwidgets	1.6.4	/home/phili/.local/lib/R/site-library	NA
httpuv	1.6.17	/home/phili/.local/lib/R/site-library	NA
httr	1.4.8	/home/phili/.local/lib/R/site-library	NA
httr2	1.2.2	/home/phili/R/library	NA
huge	2.0.1	/home/phili/R/library	NA
hunspell	3.0.6	/home/phili/R/library	NA
HypergeoMat	4.0.3	/home/phili/R/library	NA
igraph	2.3.3	/home/phili/.local/lib/R/site-library	NA
ini	0.3.1	/home/phili/.local/lib/R/site-library	NA
INLA	25.10.19	/home/phili/.local/lib/R/site-library	NA
inlabru	2.15.0	/home/phili/.local/lib/R/site-library	NA
INLAspacetime	0.1.14	/home/phili/.local/lib/R/site-library	NA
INLAtools	0.1.5	/home/phili/.local/lib/R/site-library	NA
inline	0.3.21	/home/phili/R/library	NA
insight	1.5.3	/home/phili/R/library	NA
intervals	0.15.5	/home/phili/.local/lib/R/site-library	NA
isoband	0.3.0	/home/phili/.local/lib/R/site-library	NA
iterators	1.0.14	/home/phili/.local/lib/R/site-library	NA
jeek	1.1.1	/home/phili/R/library	NA
JGL	2.3.2	/home/phili/R/library	NA
jose	2.0.0	/home/phili/R/library	NA
