Package	Version	Priority
Rdpack	2.6.6	NA
rdtools	0.1.0	NA
reactable	0.4.5	NA
reactR	0.6.1	NA
reformulas	0.4.4	NA
remotes	2.5.0	NA
renv	1.2.3	NA
reshape	0.8.10	NA
reshape2	1.4.5	NA
rex	1.2.2	NA
rgl	1.3.36	NA
Rglpk	0.6-5.1	NA
rlang	1.3.0	NA
rle	0.10.0	NA
rmarkdown	2.32	NA
rnaturalearth	1.2.0	NA
rnaturalearthdata	1.0.0	NA
robustbase	0.99-7	NA
roxygen2	8.1.0	NA
rpart	4.1.27	recommended
RPostgres	1.4.10	NA
RPostgreSQL	0.7-8	NA
rprojroot	2.1.1	NA
rsconnect	1.8.0	NA
rSPDE	2.6.0	NA
RSpectra	0.16-2	NA
RSQLite	3.53.1	NA
rstan	2.32.7	NA
rstantools	2.7.1	NA
rstatix	1.1.0	NA
rstudioapi	0.19.0	NA
rticles	0.27	NA
rversions	3.0.0	NA
rvest	1.0.5	NA
s2	1.1.12	NA
S7	0.2.2	NA
sandwich	3.1-1	NA
sass	0.4.10	NA
satellite	1.0.6	NA
scales	1.4.0	NA
scs	3.2.7	NA
selectr	0.5-1	NA
servr	0.32	NA
sessioninfo	1.2.4	NA
sf	1.1-2	NA
sfheaders	0.4.5	NA
sfsmisc	1.1-25	NA
sftime	0.3.2	NA
shape	1.4.6.1	NA
shiny	1.13.0	NA
SILGGM	1.0.0	NA
slam	0.1-56	NA
sm	2.2-6.0	NA
smoothr	1.3.0	NA
sn	2.1.3	NA
sna	2.8	NA
snow	0.4-4	NA
snowfall	1.84-6.3	NA
snowflakeauth	0.2.2	NA
sourcetools	0.1.7-2	NA
sp	2.2-3	NA
spacesXYZ	1.6-0	NA
spacetime	1.3-4	NA
spam	2.11-4	NA
spam64	2.11-4	NA
sparseinv	0.1.4	NA
SparseM	1.84-2	NA
spatial	7.3-19	recommended
spatialreg	1.4-3	NA
spatstat	3.6-1	NA
spatstat.data	3.1-9	NA
spatstat.explore	3.8-1	NA
spatstat.geom	3.8-1	NA
spatstat.linnet	3.5-1	NA
spatstat.model	3.7-1	NA
spatstat.random	3.5-0	NA
spatstat.sparse	3.2-0	NA
spatstat.univar	3.2-0	NA
